"Label (Grouping)","San Francisco County, California!!Total!!Estimate","Denver County, Colorado!!Total!!Estimate","Mecklenburg County, North Carolina!!Total!!Estimate","Travis County, Texas!!Total!!Estimate"
"Workers 16 years and over","524,742","411,781","576,409","696,725"
"    MEANS OF TRANSPORTATION TO WORK","","","",""
"        Car, truck, or van","38.9%","76.3%","85.1%","83.3%"
"            Drove alone","30.3%","68.5%","76.1%","75.3%"
"            Carpooled","8.6%","7.8%","9.0%","8.0%"
"                In 2-person carpool","5.7%","5.9%","6.8%","6.0%"
"                In 3-person carpool","1.8%","1.1%","1.3%","1.3%"
"                In 4-or-more person carpool","1.2%","0.7%","0.9%","0.7%"
"            Workers per car, truck, or van","1.15","1.06","1.06","1.06"
"        Public transportation (excluding taxicab)","33.5%","5.9%","2.8%","2.7%"
"        Walked","12.7%","5.1%","2.0%","2.4%"
"        Bicycle","4.2%","2.5%","0.1%","1.1%"
"        Taxicab, motorcycle, or other means","4.4%","1.5%","1.5%","0.9%"
"        Worked at home","6.3%","8.7%","8.6%","9.6%"
"    PLACE OF WORK","","","",""
"        Worked in state of residence","99.4%","99.1%","93.5%","99.5%"
"            Worked in county of residence","77.6%","63.9%","85.2%","89.8%"
"            Worked outside county of residence","21.8%","35.1%","8.3%","9.7%"
"        Worked outside state of residence","0.6%","0.9%","6.5%","0.5%"
"        Living in a place","100.0%","100.0%","95.4%","88.0%"
"            Worked in place of residence","77.6%","63.9%","67.0%","68.5%"
"            Worked outside place of residence","22.4%","36.1%","28.4%","19.4%"
"        Not living in a place","0.0%","0.0%","4.6%","12.0%"
"        Living in 12 selected states","N","N","N","N"
"            Worked in minor civil division of residence","N","N","N","N"
"            Worked outside minor civil division of residence","N","N","N","N"
"        Not living in 12 selected states","N","N","N","N"
"Workers 16 years and over who did not work at home","491,725","375,869","527,110","629,630"
"    TIME LEAVING HOME TO GO TO WORK","","","",""
"        12:00 a.m. to 4:59 a.m.","1.6%","3.5%","2.9%","2.7%"
"        5:00 a.m. to 5:29 a.m.","1.6%","3.0%","3.1%","2.3%"
"        5:30 a.m. to 5:59 a.m.","2.2%","3.9%","3.7%","3.0%"
"        6:00 a.m. to 6:29 a.m.","4.9%","8.2%","8.0%","7.2%"
"        6:30 a.m. to 6:59 a.m.","6.5%","8.9%","9.6%","8.2%"
"        7:00 a.m. to 7:29 a.m.","12.1%","14.1%","15.4%","17.4%"
"        7:30 a.m. to 7:59 a.m.","13.7%","14.1%","12.6%","12.2%"
"        8:00 a.m. to 8:29 a.m.","17.8%","13.7%","12.6%","12.6%"
"        8:30 a.m. to 8:59 a.m.","10.9%","7.9%","6.2%","8.9%"
"        9:00 a.m. to 11:59 p.m.","28.6%","22.6%","26.0%","25.6%"
"    TRAVEL TIME TO WORK","","","",""
"        Less than 10 minutes","4.1%","7.6%","8.3%","9.4%"
"        10 to 14 minutes","7.7%","11.8%","11.6%","11.0%"
"        15 to 19 minutes","10.7%","17.3%","14.9%","16.6%"
"        20 to 24 minutes","13.5%","16.6%","17.5%","17.0%"
"        25 to 29 minutes","7.4%","8.0%","8.3%","8.0%"
"        30 to 34 minutes","20.9%","18.9%","17.2%","16.3%"
"        35 to 44 minutes","9.8%","7.8%","7.9%","7.0%"
"        45 to 59 minutes","11.5%","7.6%","8.0%","9.4%"
"        60 or more minutes","14.3%","4.5%","6.3%","5.3%"
"        Mean travel time to work (minutes)","33.0","25.1","26.6","25.4"
"VEHICLES AVAILABLE","","","",""
"    Workers 16 years and over in households","520,699","406,800","572,402","691,303"
"        No vehicle available","22.0%","4.2%","2.2%","2.1%"
"        1 vehicle available","38.5%","28.7%","25.5%","24.5%"
"        2 vehicles available","23.8%","42.4%","45.4%","45.3%"
"        3 or more vehicles available","15.7%","24.6%","26.9%","28.0%"
"PERCENT ALLOCATED","","","",""
"    Means of transportation to work","12.8%","12.2%","8.9%","12.4%"
"    Private vehicle occupancy","15.0%","13.9%","10.7%","14.3%"
"    Place of work","16.3%","16.9%","13.2%","16.7%"
"    Time leaving home to go to work","24.2%","21.6%","20.4%","23.1%"
"    Travel time to work","16.7%","16.0%","16.3%","20.5%"
"    Vehicles available","0.8%","0.8%","1.3%","1.6%"
