"Label (Grouping)","San Francisco County, California!!Total!!Estimate","Denver County, Colorado!!Total!!Estimate","Mecklenburg County, North Carolina!!Total!!Estimate","Travis County, Texas!!Total!!Estimate"
"Workers 16 years and over","509,743","400,938","571,223","692,866"
"    MEANS OF TRANSPORTATION TO WORK","","","",""
"        Car, truck, or van","37.2%","73.3%","82.2%","79.2%"
"            Drove alone","30.5%","66.1%","73.3%","70.4%"
"            Carpooled","6.8%","7.3%","8.9%","8.8%"
"                In 2-person carpool","4.7%","5.3%","6.4%","6.6%"
"                In 3-person carpool","1.3%","1.1%","1.4%","1.3%"
"                In 4-or-more person carpool","0.8%","0.8%","1.1%","0.9%"
"            Workers per car, truck, or van","1.11","1.06","1.06","1.07"
"        Public transportation (excluding taxicab)","31.6%","6.2%","2.6%","2.4%"
"        Walked","11.7%","4.7%","1.9%","2.2%"
"        Bicycle","3.7%","2.1%","0.1%","0.9%"
"        Taxicab, motorcycle, or other means","4.0%","1.4%","1.3%","1.2%"
"        Worked from home","11.8%","12.4%","11.9%","14.0%"
"    PLACE OF WORK","","","",""
"        Worked in state of residence","99.5%","99.2%","95.2%","99.5%"
"            Worked in county of residence","78.8%","64.8%","87.4%","89.7%"
"            Worked outside county of residence","20.8%","34.4%","7.8%","9.8%"
"        Worked outside state of residence","0.5%","0.8%","4.8%","0.5%"
"        Living in a place","100.0%","100.0%","95.3%","89.4%"
"            Worked in place of residence","78.8%","64.8%","69.8%","69.3%"
"            Worked outside place of residence","21.2%","35.2%","25.5%","20.1%"
"        Not living in a place","0.0%","0.0%","4.7%","10.6%"
"        Living in 12 selected states","0.0%","0.0%","0.0%","0.0%"
"            Worked in minor civil division of residence","0.0%","0.0%","0.0%","0.0%"
"            Worked outside minor civil division of residence","0.0%","0.0%","0.0%","0.0%"
"        Not living in 12 selected states","100.0%","100.0%","100.0%","100.0%"
"Workers 16 years and over who did not work from home","449,727","351,350","503,525","595,962"
"    TIME OF DEPARTURE TO GO TO WORK","","","",""
"        12:00 a.m. to 4:59 a.m.","1.9%","3.0%","3.1%","2.6%"
"        5:00 a.m. to 5:29 a.m.","1.7%","3.0%","2.6%","2.4%"
"        5:30 a.m. to 5:59 a.m.","2.1%","4.3%","3.3%","3.0%"
"        6:00 a.m. to 6:29 a.m.","5.1%","8.5%","7.7%","7.2%"
"        6:30 a.m. to 6:59 a.m.","6.3%","9.0%","9.3%","8.5%"
"        7:00 a.m. to 7:29 a.m.","12.2%","15.2%","15.6%","17.3%"
"        7:30 a.m. to 7:59 a.m.","12.7%","12.8%","13.6%","12.2%"
"        8:00 a.m. to 8:29 a.m.","18.1%","12.9%","13.3%","12.6%"
"        8:30 a.m. to 8:59 a.m.","11.3%","7.8%","6.5%","8.5%"
"        9:00 a.m. to 11:59 p.m.","28.6%","23.5%","25.2%","25.7%"
"    TRAVEL TIME TO WORK","","","",""
"        Less than 10 minutes","4.2%","7.7%","8.1%","8.8%"
"        10 to 14 minutes","7.2%","12.0%","12.0%","11.8%"
"        15 to 19 minutes","11.6%","16.9%","16.2%","17.2%"
"        20 to 24 minutes","13.8%","16.9%","17.5%","16.2%"
"        25 to 29 minutes","7.1%","7.8%","8.7%","7.9%"
"        30 to 34 minutes","19.7%","18.3%","16.6%","16.4%"
"        35 to 44 minutes","10.1%","7.6%","7.6%","7.1%"
"        45 to 59 minutes","12.0%","7.6%","7.5%","8.7%"
"        60 or more minutes","14.4%","5.3%","5.8%","6.0%"
"        Mean travel time to work (minutes)","33.3","25.7","26.2","25.9"
"VEHICLES AVAILABLE","","","",""
"    Workers 16 years and over in households","504,856","397,495","567,350","687,555"
"        No vehicle available","21.7%","4.3%","2.6%","2.6%"
"        1 vehicle available","38.3%","27.6%","25.8%","24.5%"
"        2 vehicles available","24.6%","42.8%","44.2%","46.0%"
"        3 or more vehicles available","15.4%","25.3%","27.4%","26.9%"
"PERCENT ALLOCATED","","","",""
"    Means of transportation to work","14.5%","13.6%","9.8%","12.5%"
"    Private vehicle occupancy","18.3%","15.3%","12.0%","14.6%"
"    Place of work","17.1%","16.7%","13.0%","15.0%"
"    Time of departure to go to work","27.2%","23.4%","21.9%","24.9%"
"    Travel time to work","19.9%","17.9%","17.1%","20.6%"
"    Vehicles available","1.4%","1.1%","1.3%","2.0%"
